trial,score,validity_rate,avg_cost,n_runs,n_valid,elapsed_s,base_penalty_factor,omega2_over_omega1,p_origin_penalty_w,p_delivery_once_w,p_position_once_w,p_dest_inclusion_w,p_consecutiveness_w,p_capacity_w,reward_regular,reward_tp_depot,reward_depot_tp
73,250000071.24722633,0.75,71.24722634056425,12,9,1.9566316604614258,True,18.46132781916517,0.31971085256251713,1.280009706244015,4.645677635765639,5.872579696138794,1.059379359185274,1.6261925865093152,0.5021762028352463,1.0521992082776965,2.316106936813161,0.4418347889299332
74,254.95502757204636,1.0,254.95502757204636,30,30,5.717967748641968,False,25.008833250864768,0.2967079847947292,1.6752428850619383,3.331030230844803,4.763951784757661,1.2883663643950962,1.3797578506210946,0.8329963516854816,1.137829336708396,1.68705202099181,0.2673096279904407
75,217.74046530804966,1.0,217.74046530804966,30,30,3.942466974258423,False,26.66957035413611,0.2855828624217817,1.5243872586285163,3.285147776412784,4.474809615140964,1.2853023409846092,1.413704581916813,0.81174585645823,1.1528068234903017,1.6763592390217665,0.2689225230343908
76,227.74109214452739,1.0,227.74109214452739,30,30,4.109249591827393,False,26.600573442552136,0.39645664025468746,1.5531656314678575,3.151570432680022,4.746058199757076,1.2341591324257057,1.387126558329725,0.813903045258787,0.8658179217267629,1.6640689369594632,0.2801632951620072
77,147.4976086077066,1.0,147.4976086077066,12,12,0.9076435565948486,True,23.26560318025378,0.3979900657247692,1.5587060623321776,3.17871818214645,4.749374403069093,0.9305295121622328,1.051481551026679,0.8898629556368127,0.7959459333996418,1.644862343031571,0.0028763497349815204
78,250000071.3923697,0.75,71.39236969002,12,9,2.1884164810180664,True,19.73098141795184,0.3024356641849873,1.114258200907135,2.8087478855913806,3.9996964568541724,1.593792779982405,1.392367678200216,1.0751337758201382,0.5586486474247367,1.7329012068604732,0.2744702696119735
79,250000071.3923697,0.75,71.39236969002,12,9,2.098538398742676,True,28.435416201723267,0.4362167981420797,0.782646886356772,3.3032613672858013,4.463965249662344,1.2511861675405471,1.7614351363715905,0.7575184416711744,0.8826646491297943,1.8896407541004194,0.17598113730216094
80,250000071.3923697,0.75,71.39236969002,12,9,2.18015718460083,True,31.901111832442698,0.34299780464634305,1.2435751895615037,2.0287121061577054,4.613297710088152,1.5153966530719862,1.406121939474112,1.2849445492869065,1.1283671597624847,1.658654746194353,0.11105383870847829
81,257.9715884791487,1.0,257.9715884791487,30,30,4.157970905303955,False,24.84118662136743,0.26194295910969656,1.4554842105039982,2.3217296636242786,4.35419131881573,1.1616071384196704,1.258099565344498,0.9650337872114881,1.206329363224941,2.0302863460310623,0.3735230500086153
82,133333563.92082399,0.8666666666666667,230.58749069756692,30,26,10.371997594833374,False,25.5963841524061,0.25673756886769505,1.4676897865161664,2.4152846793974017,4.102146919049975,0.7033786995210086,1.1522220714675213,0.8996835159781973,0.9693020626384462,2.1346255070692806,0.23016599315422132
83,250000068.0696572,0.75,68.06965720951922,12,9,2.107982635498047,True,21.780564504987527,0.2911516030739913,1.3530637816197282,3.0807362297989638,4.876978330522206,1.3260586842695494,1.5765907950297229,1.0388755855365321,1.2831676002146355,1.4984506225262426,0.36552320790055004
84,100000237.28071396,0.9,237.28071397495296,30,27,8.598525047302246,False,16.874044600121522,0.26173337766355737,1.5822258534292961,1.6827940619703272,3.6942510814286678,0.9194797582306221,1.3479509658606914,0.7216759593427751,1.1664327248908855,2.353113050443462,0.05335400457080311
85,149.14937617326686,1.0,149.14937617326686,12,12,0.6252095699310303,True,29.479794524194144,0.23869867778084639,1.6511392389547583,1.9837462571383857,5.316068287290025,0.7093094331125259,1.0358804576612584,1.442583402700647,1.005393754609677,1.9268783688367916,0.25425227802051065
86,250000132.12100807,0.75,132.1210080674415,12,9,2.2012383937835693,True,20.309269698660838,0.40856382479456,1.7793846431032732,3.975997960002627,5.043041147626097,1.7088446819979948,1.213504339008759,1.2155412211248748,1.560651207978538,1.5769350694247166,0.3397473959815879
87,500000080.3005019,0.5,80.30050189157238,12,6,2.283708095550537,True,22.829309631321816,0.6286086779563747,1.4918542482574433,3.7462562496251577,4.458226728844849,1.168986347873216,1.89197397675529,1.052197081835236,0.8259369958758573,1.7233767990334234,0.17148502712551228
88,250000081.62834167,0.75,81.62834167954747,12,9,2.0632903575897217,True,18.246590841346496,0.3589184772809844,1.1728187832509016,2.2592675487228115,4.749471159784204,1.317589761819005,1.696519679578329,0.7890130218129553,1.0928109803740118,2.009819690413865,0.4688509981477059
89,250000126.56912783,0.75,126.56912783587742,12,9,0.7188098430633545,True,27.929772591948495,0.324199905183996,1.8500322179938846,2.5234241034820686,4.233084294097947,1.5021627793751746,1.47395168357443,1.5695679583280848,0.9151856830073046,2.0960593142121304,2.1424809418647968
90,146.9392188930669,1.0,146.9392188930669,12,12,1.367894172668457,True,25.350047546574675,0.4693654448528845,1.388038297427424,3.386663172156849,4.5754025662042945,1.020577041874816,1.1198398293111986,0.5137758876201008,1.397091459029649,1.8256995483738103,0.38265895033060193
91,257.02675666780846,1.0,257.02675666780846,30,30,4.33192777633667,False,25.64833810211729,0.23057613055162368,1.6625676729917027,4.4288199903667715,4.355466924636293,1.1629324800914598,1.3065880064503248,0.6699351186999889,1.1963011899295064,1.9428493988217268,0.2875443849674731
92,221.0116040122079,1.0,221.0116040122079,30,30,4.38804292678833,False,24.125430967831285,0.3022839895140614,1.6978293541061544,4.887168472500778,4.040364286095681,0.9574701004353658,1.3496158853180016,0.7427720060091813,1.1517035252075367,1.497050947282444,0.00810838597534258
93,221.35713390030222,1.0,221.35713390030222,30,30,3.7712509632110596,False,22.269048115183807,0.27902721358628924,1.6551982885634264,4.531703628365012,3.7521788911978344,0.7280891956931888,1.3580471797680838,0.7078515544537861,1.3329206535220424,1.504252843254988,0.06986290661795458
94,100000226.46458328,0.9,226.4645832948568,30,27,8.901739358901978,False,16.37509458741346,0.2972015972836047,2.0747360589058403,4.929252661371358,3.815864643161557,0.9707808846697963,1.619619754904006,1.177215397451917,1.3330948090594255,1.4575237053075898,0.06447274724310847
